marca,modelo,emplacados,acumulado_anual,data,,,,,,,,
FIAT,MOBI,3719,3719,2024-01-02,,,,,,,,
RENAULT,KWID,3096,3096,2024-01-02,,,,,,,,
VW,GOL,8,8,2024-01-02,,,,,,,,
FIAT,UNO,2,2,2024-01-02,,,,,,,,
FIAT,PALIO,1,1,2024-01-02,,,,,,,,
HYUNDAI,HB20,7478,7478,2024-01-02,,,,,,,,
VW,POLO,7258,7258,2024-01-02,,,,,,,,
GM,ONIX,5714,5714,2024-01-02,,,,,,,,
FIAT,ARGO,4696,4696,2024-01-02,,,,,,,,
TOYOTA,YARIS_HB,2003,2003,2024-01-02,,,,,,,,
CITROEN,C3,1879,1879,2024-01-02,,,,,,,,
PEUGEOT,208,1825,1825,2024-01-02,,,,,,,,
BYD,DOLPHIN,1820,1820,2024-01-02,,,,,,,,
HONDA,CITY_HATCH,794,794,2024-01-02,,,,,,,,
GWM,ORA_03,696,696,2024-01-02,,,,,,,,
RENAULT,SANDERO,439,439,2024-01-02,,,,,,,,
JAC,E-JS1,111,111,2024-01-02,,,,,,,,
GM,CRUZE_HB,35,35,2024-01-02,,,,,,,,
AUDI,A3,23,23,2024-01-02,,,,,,,,
HONDA,CIVIC_TYPE-R,13,13,2024-01-02,,,,,,,,
TOYOTA,COROLLA_GR,7,7,2024-01-02,,,,,,,,
MBENZ,CLASSE_A,3,3,2024-01-02,,,,,,,,
VW,GOLF,3,3,2024-01-02,,,,,,,,
FIAT,CRONOS,2926,2926,2024-01-02,,,,,,,,
HYUNDAI,HB20S,1702,1702,2024-01-02,,,,,,,,
RENAULT,LOGAN,72,72,2024-01-02,,,,,,,,
GM,PRISMA,1,1,2024-01-02,,,,,,,,
FIAT,SIENA,0,0,2024-01-02,,,,,,,,
VW,VOYAGE,0,0,2024-01-02,,,,,,,,
GM,ONIX_PLUS,3559,3559,2024-01-02,,,,,,,,
VW,VIRTUS,2372,2372,2024-01-02,,,,,,,,
TOYOTA,YARIS_SEDAN,1685,1685,2024-01-02,,,,,,,,
NISSAN,VERSA,938,938,2024-01-02,,,,,,,,
HONDA,CITY,927,927,2024-01-02,,,,,,,,
VW,POLO_SEDAN,1,1,2024-01-02,,,,,,,,
